ref,co_codigo,U1,L1,U2,L2,U3,L3,U4,L4,U5,L5,U6,L6,U7,L7,U8,L8,U9,L9
C-1,24,4,3,3,2,5,4,5,5,6,6,3,3,5,5,3,2,5,5
C-1,25,4,4,3,3,4,4,5,4,6,4,3,2,6,3,4,3,4,4
C-1,26,5,4,2,2,4,3,4,3,5,5,4,4,6,4,3,3,6,6
C-1,27,3,2,2,2,4,3,4,4,5,5,4,4,4,4,4,4,3,3
C-1,28,3,3,4,2,2,2,4,3,4,4,4,3,3,3,3,3,4,4
C-2,24,3,3,4,4,4,4,4,4,3,3,3,1,3,3,4,3,3,3
C-2,25,4,4,5,5,4,4,5,3,4,0,2,2,3,2,4,4,2,2
C-2,26,4,3,4,3,5,4,4,3,4,3,2,2,3,3,3,3,3,3
C-2,27,4,4,3,3,4,4,5,5,3,3,3,2,3,3,4,4,4,4
C-2,28,5,5,5,5,4,4,3,3,2,1,2,2,4,2,3,3,3,3
C-3,24,3,1,3,3,4,3,3,2,3,3,4,3,2,1,4,4,3,3
C-3,25,3,3,4,4,4,4,2,2,3,3,3,3,3,2,5,5,4,2
C-3,26,4,4,4,2,4,4,3,0,4,2,4,3,2,3,5,4,4,4
C-3,27,2,2,3,3,5,5,3,3,4,4,2,1,3,3,5,5,3,3
C-3,28,3,3,4,4,5,4,2,2,3,3,3,3,4,4,4,4,4,2
C-4,24,3,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,3,3
C-4,25,5,5,5,4,5,4,3,3,5,5,5,5,5,5,5,5,4,4
C-4,26,4,4,4,4,3,3,4,2,5,4,4,4,4,3,3,3,4,3
C-4,27,4,3,6,3,3,3,3,3,4,4,4,3,6,3,4,4,4,3
C-4,28,5,5,4,4,4,4,3,3,4,3,3,3,4,4,3,3,3,2
C-5,24,3,3,1,1,4,4,1,1,3,3,2,2,4,3,5,5,5,5
C-5,25,3,2,2,2,4,3,3,0,4,3,3,3,3,2,4,4,4,4
C-5,26,3,3,3,0,6,3,2,2,3,2,4,3,3,0,6,3,4,4
C-5,27,2,2,1,1,3,3,2,2,3,0,3,3,3,2,5,5,5,4
C-5,28,4,3,2,2,4,2,2,1,4,3,4,4,3,0,4,4,6,3
